"STATISTIC","Statistic Label","TLIST(A1)","Year","C03151V03803","Type of Dwelling","C03440V04149","Energy Rating","UNIT","VALUE"
"DBEREL01C01","Household Electricity Consumption","2015","2015","01","Apartment","13","A - B","Mean kilowatt-hours","4832"
"DBEREL01C01","Household Electricity Consumption","2015","2015","01","Apartment","07","C","Mean kilowatt-hours","5420"
"DBEREL01C01","Household Electricity Consumption","2015","2015","01","Apartment","08","D","Mean kilowatt-hours","5230"
"DBEREL01C01","Household Electricity Consumption","2015","2015","01","Apartment","09","E","Mean kilowatt-hours","4827"
"DBEREL01C01","Household Electricity Consumption","2015","2015","01","Apartment","10","F- G","Mean kilowatt-hours","3908"
"DBEREL01C01","Household Electricity Consumption","2015","2015","01","Apartment","-","All BER ratings","Mean kilowatt-hours","5056"
"DBEREL01C01","Household Electricity Consumption","2015","2015","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3547"
"DBEREL01C01","Household Electricity Consumption","2015","2015","11","Mid-terrace house","07","C","Mean kilowatt-hours","5988"
"DBEREL01C01","Household Electricity Consumption","2015","2015","11","Mid-terrace house","08","D","Mean kilowatt-hours","5501"
"DBEREL01C01","Household Electricity Consumption","2015","2015","11","Mid-terrace house","09","E","Mean kilowatt-hours","4949"
"DBEREL01C01","Household Electricity Consumption","2015","2015","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","4019"
"DBEREL01C01","Household Electricity Consumption","2015","2015","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4607"
"DBEREL01C01","Household Electricity Consumption","2015","2015","10","End of terrace house","13","A - B","Mean kilowatt-hours","3713"
"DBEREL01C01","Household Electricity Consumption","2015","2015","10","End of terrace house","07","C","Mean kilowatt-hours","5839"
"DBEREL01C01","Household Electricity Consumption","2015","2015","10","End of terrace house","08","D","Mean kilowatt-hours","5842"
"DBEREL01C01","Household Electricity Consumption","2015","2015","10","End of terrace house","09","E","Mean kilowatt-hours","5508"
"DBEREL01C01","Household Electricity Consumption","2015","2015","10","End of terrace house","10","F- G","Mean kilowatt-hours","4506"
"DBEREL01C01","Household Electricity Consumption","2015","2015","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4716"
"DBEREL01C01","Household Electricity Consumption","2015","2015","09","Semi-detached house","13","A - B","Mean kilowatt-hours","3697"
"DBEREL01C01","Household Electricity Consumption","2015","2015","09","Semi-detached house","07","C","Mean kilowatt-hours","5704"
"DBEREL01C01","Household Electricity Consumption","2015","2015","09","Semi-detached house","08","D","Mean kilowatt-hours","5557"
"DBEREL01C01","Household Electricity Consumption","2015","2015","09","Semi-detached house","09","E","Mean kilowatt-hours","5161"
"DBEREL01C01","Household Electricity Consumption","2015","2015","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4669"
"DBEREL01C01","Household Electricity Consumption","2015","2015","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4438"
"DBEREL01C01","Household Electricity Consumption","2015","2015","08","Detached house","13","A - B","Mean kilowatt-hours","7650"
"DBEREL01C01","Household Electricity Consumption","2015","2015","08","Detached house","07","C","Mean kilowatt-hours","7553"
"DBEREL01C01","Household Electricity Consumption","2015","2015","08","Detached house","08","D","Mean kilowatt-hours","5887"
"DBEREL01C01","Household Electricity Consumption","2015","2015","08","Detached house","09","E","Mean kilowatt-hours","5643"
"DBEREL01C01","Household Electricity Consumption","2015","2015","08","Detached house","10","F- G","Mean kilowatt-hours","4209"
"DBEREL01C01","Household Electricity Consumption","2015","2015","08","Detached house","-","All BER ratings","Mean kilowatt-hours","6645"
"DBEREL01C01","Household Electricity Consumption","2015","2015","-","All dwellings","13","A - B","Mean kilowatt-hours","5504"
"DBEREL01C01","Household Electricity Consumption","2015","2015","-","All dwellings","07","C","Mean kilowatt-hours","5545"
"DBEREL01C01","Household Electricity Consumption","2015","2015","-","All dwellings","08","D","Mean kilowatt-hours","5323"
"DBEREL01C01","Household Electricity Consumption","2015","2015","-","All dwellings","09","E","Mean kilowatt-hours","4973"
"DBEREL01C01","Household Electricity Consumption","2015","2015","-","All dwellings","10","F- G","Mean kilowatt-hours","4118"
"DBEREL01C01","Household Electricity Consumption","2015","2015","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2016","2016","01","Apartment","13","A - B","Mean kilowatt-hours","4858"
"DBEREL01C01","Household Electricity Consumption","2016","2016","01","Apartment","07","C","Mean kilowatt-hours","5407"
"DBEREL01C01","Household Electricity Consumption","2016","2016","01","Apartment","08","D","Mean kilowatt-hours","5224"
"DBEREL01C01","Household Electricity Consumption","2016","2016","01","Apartment","09","E","Mean kilowatt-hours","4853"
"DBEREL01C01","Household Electricity Consumption","2016","2016","01","Apartment","10","F- G","Mean kilowatt-hours","3979"
"DBEREL01C01","Household Electricity Consumption","2016","2016","01","Apartment","-","All BER ratings","Mean kilowatt-hours","5063"
"DBEREL01C01","Household Electricity Consumption","2016","2016","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3546"
"DBEREL01C01","Household Electricity Consumption","2016","2016","11","Mid-terrace house","07","C","Mean kilowatt-hours","6066"
"DBEREL01C01","Household Electricity Consumption","2016","2016","11","Mid-terrace house","08","D","Mean kilowatt-hours","5490"
"DBEREL01C01","Household Electricity Consumption","2016","2016","11","Mid-terrace house","09","E","Mean kilowatt-hours","4895"
"DBEREL01C01","Household Electricity Consumption","2016","2016","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","3905"
"DBEREL01C01","Household Electricity Consumption","2016","2016","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4572"
"DBEREL01C01","Household Electricity Consumption","2016","2016","10","End of terrace house","13","A - B","Mean kilowatt-hours","3652"
"DBEREL01C01","Household Electricity Consumption","2016","2016","10","End of terrace house","07","C","Mean kilowatt-hours","5685"
"DBEREL01C01","Household Electricity Consumption","2016","2016","10","End of terrace house","08","D","Mean kilowatt-hours","5974"
"DBEREL01C01","Household Electricity Consumption","2016","2016","10","End of terrace house","09","E","Mean kilowatt-hours","5416"
"DBEREL01C01","Household Electricity Consumption","2016","2016","10","End of terrace house","10","F- G","Mean kilowatt-hours","4504"
"DBEREL01C01","Household Electricity Consumption","2016","2016","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4683"
"DBEREL01C01","Household Electricity Consumption","2016","2016","09","Semi-detached house","13","A - B","Mean kilowatt-hours","3770"
"DBEREL01C01","Household Electricity Consumption","2016","2016","09","Semi-detached house","07","C","Mean kilowatt-hours","5549"
"DBEREL01C01","Household Electricity Consumption","2016","2016","09","Semi-detached house","08","D","Mean kilowatt-hours","5468"
"DBEREL01C01","Household Electricity Consumption","2016","2016","09","Semi-detached house","09","E","Mean kilowatt-hours","5122"
"DBEREL01C01","Household Electricity Consumption","2016","2016","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4544"
"DBEREL01C01","Household Electricity Consumption","2016","2016","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4396"
"DBEREL01C01","Household Electricity Consumption","2016","2016","08","Detached house","13","A - B","Mean kilowatt-hours","7560"
"DBEREL01C01","Household Electricity Consumption","2016","2016","08","Detached house","07","C","Mean kilowatt-hours","7373"
"DBEREL01C01","Household Electricity Consumption","2016","2016","08","Detached house","08","D","Mean kilowatt-hours","5774"
"DBEREL01C01","Household Electricity Consumption","2016","2016","08","Detached house","09","E","Mean kilowatt-hours","5527"
"DBEREL01C01","Household Electricity Consumption","2016","2016","08","Detached house","10","F- G","Mean kilowatt-hours","4131"
"DBEREL01C01","Household Electricity Consumption","2016","2016","08","Detached house","-","All BER ratings","Mean kilowatt-hours","6604"
"DBEREL01C01","Household Electricity Consumption","2016","2016","-","All dwellings","13","A - B","Mean kilowatt-hours","5502"
"DBEREL01C01","Household Electricity Consumption","2016","2016","-","All dwellings","07","C","Mean kilowatt-hours","5525"
"DBEREL01C01","Household Electricity Consumption","2016","2016","-","All dwellings","08","D","Mean kilowatt-hours","5312"
"DBEREL01C01","Household Electricity Consumption","2016","2016","-","All dwellings","09","E","Mean kilowatt-hours","4967"
"DBEREL01C01","Household Electricity Consumption","2016","2016","-","All dwellings","10","F- G","Mean kilowatt-hours","4101"
"DBEREL01C01","Household Electricity Consumption","2016","2016","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2017","2017","01","Apartment","13","A - B","Mean kilowatt-hours","4724"
"DBEREL01C01","Household Electricity Consumption","2017","2017","01","Apartment","07","C","Mean kilowatt-hours","5342"
"DBEREL01C01","Household Electricity Consumption","2017","2017","01","Apartment","08","D","Mean kilowatt-hours","5226"
"DBEREL01C01","Household Electricity Consumption","2017","2017","01","Apartment","09","E","Mean kilowatt-hours","4906"
"DBEREL01C01","Household Electricity Consumption","2017","2017","01","Apartment","10","F- G","Mean kilowatt-hours","4050"
"DBEREL01C01","Household Electricity Consumption","2017","2017","01","Apartment","-","All BER ratings","Mean kilowatt-hours","5052"
"DBEREL01C01","Household Electricity Consumption","2017","2017","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3549"
"DBEREL01C01","Household Electricity Consumption","2017","2017","11","Mid-terrace house","07","C","Mean kilowatt-hours","5861"
"DBEREL01C01","Household Electricity Consumption","2017","2017","11","Mid-terrace house","08","D","Mean kilowatt-hours","5474"
"DBEREL01C01","Household Electricity Consumption","2017","2017","11","Mid-terrace house","09","E","Mean kilowatt-hours","4858"
"DBEREL01C01","Household Electricity Consumption","2017","2017","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","3906"
"DBEREL01C01","Household Electricity Consumption","2017","2017","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4518"
"DBEREL01C01","Household Electricity Consumption","2017","2017","10","End of terrace house","13","A - B","Mean kilowatt-hours","3656"
"DBEREL01C01","Household Electricity Consumption","2017","2017","10","End of terrace house","07","C","Mean kilowatt-hours","5773"
"DBEREL01C01","Household Electricity Consumption","2017","2017","10","End of terrace house","08","D","Mean kilowatt-hours","5881"
"DBEREL01C01","Household Electricity Consumption","2017","2017","10","End of terrace house","09","E","Mean kilowatt-hours","5384"
"DBEREL01C01","Household Electricity Consumption","2017","2017","10","End of terrace house","10","F- G","Mean kilowatt-hours","4450"
"DBEREL01C01","Household Electricity Consumption","2017","2017","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4625"
"DBEREL01C01","Household Electricity Consumption","2017","2017","09","Semi-detached house","13","A - B","Mean kilowatt-hours","3797"
"DBEREL01C01","Household Electricity Consumption","2017","2017","09","Semi-detached house","07","C","Mean kilowatt-hours","5715"
"DBEREL01C01","Household Electricity Consumption","2017","2017","09","Semi-detached house","08","D","Mean kilowatt-hours","5578"
"DBEREL01C01","Household Electricity Consumption","2017","2017","09","Semi-detached house","09","E","Mean kilowatt-hours","5051"
"DBEREL01C01","Household Electricity Consumption","2017","2017","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4569"
"DBEREL01C01","Household Electricity Consumption","2017","2017","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4380"
"DBEREL01C01","Household Electricity Consumption","2017","2017","08","Detached house","13","A - B","Mean kilowatt-hours","7440"
"DBEREL01C01","Household Electricity Consumption","2017","2017","08","Detached house","07","C","Mean kilowatt-hours","7444"
"DBEREL01C01","Household Electricity Consumption","2017","2017","08","Detached house","08","D","Mean kilowatt-hours","5905"
"DBEREL01C01","Household Electricity Consumption","2017","2017","08","Detached house","09","E","Mean kilowatt-hours","5451"
"DBEREL01C01","Household Electricity Consumption","2017","2017","08","Detached house","10","F- G","Mean kilowatt-hours","4133"
"DBEREL01C01","Household Electricity Consumption","2017","2017","08","Detached house","-","All BER ratings","Mean kilowatt-hours","6601"
"DBEREL01C01","Household Electricity Consumption","2017","2017","-","All dwellings","13","A - B","Mean kilowatt-hours","5436"
"DBEREL01C01","Household Electricity Consumption","2017","2017","-","All dwellings","07","C","Mean kilowatt-hours","5466"
"DBEREL01C01","Household Electricity Consumption","2017","2017","-","All dwellings","08","D","Mean kilowatt-hours","5321"
"DBEREL01C01","Household Electricity Consumption","2017","2017","-","All dwellings","09","E","Mean kilowatt-hours","4986"
"DBEREL01C01","Household Electricity Consumption","2017","2017","-","All dwellings","10","F- G","Mean kilowatt-hours","4133"
"DBEREL01C01","Household Electricity Consumption","2017","2017","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2018","2018","01","Apartment","13","A - B","Mean kilowatt-hours","4803"
"DBEREL01C01","Household Electricity Consumption","2018","2018","01","Apartment","07","C","Mean kilowatt-hours","5740"
"DBEREL01C01","Household Electricity Consumption","2018","2018","01","Apartment","08","D","Mean kilowatt-hours","5617"
"DBEREL01C01","Household Electricity Consumption","2018","2018","01","Apartment","09","E","Mean kilowatt-hours","5245"
"DBEREL01C01","Household Electricity Consumption","2018","2018","01","Apartment","10","F- G","Mean kilowatt-hours","4313"
"DBEREL01C01","Household Electricity Consumption","2018","2018","01","Apartment","-","All BER ratings","Mean kilowatt-hours","5404"
"DBEREL01C01","Household Electricity Consumption","2018","2018","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3763"
"DBEREL01C01","Household Electricity Consumption","2018","2018","11","Mid-terrace house","07","C","Mean kilowatt-hours","6206"
"DBEREL01C01","Household Electricity Consumption","2018","2018","11","Mid-terrace house","08","D","Mean kilowatt-hours","5907"
"DBEREL01C01","Household Electricity Consumption","2018","2018","11","Mid-terrace house","09","E","Mean kilowatt-hours","5189"
"DBEREL01C01","Household Electricity Consumption","2018","2018","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","4060"
"DBEREL01C01","Household Electricity Consumption","2018","2018","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4762"
"DBEREL01C01","Household Electricity Consumption","2018","2018","10","End of terrace house","13","A - B","Mean kilowatt-hours","3805"
"DBEREL01C01","Household Electricity Consumption","2018","2018","10","End of terrace house","07","C","Mean kilowatt-hours","6231"
"DBEREL01C01","Household Electricity Consumption","2018","2018","10","End of terrace house","08","D","Mean kilowatt-hours","6506"
"DBEREL01C01","Household Electricity Consumption","2018","2018","10","End of terrace house","09","E","Mean kilowatt-hours","5781"
"DBEREL01C01","Household Electricity Consumption","2018","2018","10","End of terrace house","10","F- G","Mean kilowatt-hours","4663"
"DBEREL01C01","Household Electricity Consumption","2018","2018","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4861"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","13","A - B","Mean kilowatt-hours","4063"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","07","C","Mean kilowatt-hours","6211"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","08","D","Mean kilowatt-hours","5923"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","09","E","Mean kilowatt-hours","5376"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4713"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4584"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","13","A - B","Mean kilowatt-hours","7959"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","07","C","Mean kilowatt-hours","8244"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","08","D","Mean kilowatt-hours","6313"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","09","E","Mean kilowatt-hours","5818"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","10","F- G","Mean kilowatt-hours","4366"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","-","All BER ratings","Mean kilowatt-hours","7141"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","13","A - B","Mean kilowatt-hours","5730"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","07","C","Mean kilowatt-hours","5880"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","08","D","Mean kilowatt-hours","5722"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","09","E","Mean kilowatt-hours","5328"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","10","F- G","Mean kilowatt-hours","4356"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","13","A - B","Mean kilowatt-hours","4142"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","07","C","Mean kilowatt-hours","5210"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","08","D","Mean kilowatt-hours","5121"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","09","E","Mean kilowatt-hours","4860"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","10","F- G","Mean kilowatt-hours","4068"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","-","All BER ratings","Mean kilowatt-hours","4926"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3495"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","07","C","Mean kilowatt-hours","5777"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","08","D","Mean kilowatt-hours","5367"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","09","E","Mean kilowatt-hours","4803"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","3790"
